,index,Unnamed: 0,Title,Year_x,Publisher_x,Genre_x,Platform_x,Metascore,Avg_Userscore,No_Players,Rank,Name,Platform_y,Year_y,Genre_y,Publisher_y,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
159,159,76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,94,8.5,No Online Multiplayer,449,Mass Effect 2,X360,2010.0,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
160,160,76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,94,8.5,No Online Multiplayer,1283,Mass Effect 2,PS3,2011.0,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48
161,161,76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,94,8.5,No Online Multiplayer,4869,Mass Effect 2,PC,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4
162,162,32,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
163,163,32,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player,1162,The Legend of Zelda: Twilight Princess,GC,2006.0,Action,Nintendo,1.15,0.36,0.04,0.04,1.59
164,164,52,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,95,9.0,No Online Multiplayer,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
165,165,52,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,95,9.0,No Online Multiplayer,1162,The Legend of Zelda: Twilight Princess,GC,2006.0,Action,Nintendo,1.15,0.36,0.04,0.04,1.59
166,166,33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,96,8.5,No Online Multiplayer,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
167,167,33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,96,8.5,No Online Multiplayer,127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
168,168,33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,96,8.5,No Online Multiplayer,311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
