,index,Unnamed: 0,Title,Year_x,Publisher_x,Genre_x,Platform_x,Metascore,Avg_Userscore,No_Players,Rank,Name,Platform_y,Year_y,Genre_y,Publisher_y,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1083,1115,423,MVP Baseball 2004,2004,EASports,Sports;Traditional;Baseball;Sim,Xbox,90,8.5,1-2 ,3408,MVP Baseball 2004,XB,2004.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59
1084,1116,423,MVP Baseball 2004,2004,EASports,Sports;Traditional;Baseball;Sim,Xbox,90,8.5,1-2 ,6608,MVP Baseball 2004,GC,2004.0,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26
1085,1117,572,MVP Baseball 2004,2004,EASports,Sports;Traditional;Baseball;Sim,GameCube,89,8.5,1-2 ,1466,MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34
1086,1118,572,MVP Baseball 2004,2004,EASports,Sports;Traditional;Baseball;Sim,GameCube,89,8.5,1-2 ,3408,MVP Baseball 2004,XB,2004.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59
1087,1119,572,MVP Baseball 2004,2004,EASports,Sports;Traditional;Baseball;Sim,GameCube,89,8.5,1-2 ,6608,MVP Baseball 2004,GC,2004.0,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26
1088,1120,2680,MVP Baseball 2004,2004,EASports,Sports;Traditional;Team;Baseball;Sim;Sim,PC,82,7.9,1-2 ,1466,MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34
1089,1121,2680,MVP Baseball 2004,2004,EASports,Sports;Traditional;Team;Baseball;Sim;Sim,PC,82,7.9,1-2 ,3408,MVP Baseball 2004,XB,2004.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59
1090,1122,2680,MVP Baseball 2004,2004,EASports,Sports;Traditional;Team;Baseball;Sim;Sim,PC,82,7.9,1-2 ,6608,MVP Baseball 2004,GC,2004.0,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26
1091,1123,395,NHL 2001,2000,EASports,Sports;Traditional;Team;Ice Hockey;Sim;Sim,PC,90,6.9,1-8 ,2163,NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
1092,1124,395,NHL 2001,2000,EASports,Sports;Traditional;Team;Ice Hockey;Sim;Sim,PC,90,6.9,1-8 ,3231,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63
1093,1125,664,NHL 2001,2000,Page44Studios,Sports;Traditional;Ice Hockey;Sim,PlayStation,88,8.0,not specified,2163,NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
1094,1126,664,NHL 2001,2000,Page44Studios,Sports;Traditional;Ice Hockey;Sim,PlayStation,88,8.0,not specified,3231,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63
1095,1127,1556,NHL 2001,2000,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,85,8.2,1-8 ,2163,NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
1096,1128,1556,NHL 2001,2000,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,85,8.2,1-8 ,3231,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63
1097,1129,396,Advance Wars: Dual Strike,2005,IntelligentSystems,Strategy;Turn-Based;Modern;Modern;Tactics,DS,90,8.9,No Online Multiplayer,4806,Advance Wars: Dual Strike,DS,2005.0,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4
1098,1130,398,MLB 11: The Show,2011,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation3,90,7.8,not specified,3493,MLB 11: The Show,PS3,2011.0,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58
1099,1131,398,MLB 11: The Show,2011,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation3,90,7.8,not specified,8621,MLB 11: The Show,PSP,2011.0,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.01,0.16
1100,1132,398,MLB 11: The Show,2011,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation3,90,7.8,not specified,9396,MLB 11: The Show,PS2,2011.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
1101,1133,400,Jak and Daxter: The Precursor Legacy,2001,NaughtyDog,Action;Platformer;3D,PlayStation2,90,8.8,1 Player,346,Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
1102,1134,401,Star Wars Rogue Leader: Rogue Squadron II,2001,Factor5,Simulation;Sci-Fi;Small Spaceship,GameCube,90,8.6,1 Player,909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
1103,1135,405,Burnout Revenge,2005,CriterionGames,Driving;Racing;Arcade,PlayStation2,90,8.8,6  Online,2301,Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
1104,1136,405,Burnout Revenge,2005,CriterionGames,Driving;Racing;Arcade,PlayStation2,90,8.8,6  Online,3788,Burnout Revenge,XB,2005.0,Racing,Electronic Arts,0.32,0.19,0.0,0.01,0.53
1105,1137,405,Burnout Revenge,2005,CriterionGames,Driving;Racing;Arcade,PlayStation2,90,8.8,6  Online,3934,Burnout Revenge,X360,2006.0,Racing,Electronic Arts,0.42,0.05,0.0,0.04,0.51
1106,1138,496,Burnout Revenge,2005,CriterionGames,Driving;Racing;Arcade,Xbox,89,8.4,6  Online,2301,Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
1107,1139,496,Burnout Revenge,2005,CriterionGames,Driving;Racing;Arcade,Xbox,89,8.4,6  Online,3788,Burnout Revenge,XB,2005.0,Racing,Electronic Arts,0.32,0.19,0.0,0.01,0.53
1108,1140,496,Burnout Revenge,2005,CriterionGames,Driving;Racing;Arcade,Xbox,89,8.4,6  Online,3934,Burnout Revenge,X360,2006.0,Racing,Electronic Arts,0.42,0.05,0.0,0.04,0.51
1109,1141,577,Burnout Revenge,2006,CriterionGames,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,89,8.2,6  Online,2301,Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
1110,1142,577,Burnout Revenge,2006,CriterionGames,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,89,8.2,6  Online,3788,Burnout Revenge,XB,2005.0,Racing,Electronic Arts,0.32,0.19,0.0,0.01,0.53
1111,1143,577,Burnout Revenge,2006,CriterionGames,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,89,8.2,6  Online,3934,Burnout Revenge,X360,2006.0,Racing,Electronic Arts,0.42,0.05,0.0,0.04,0.51
1112,1144,408,NCAA Football 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,90,8.5,1-8 ,1183,NCAA Football 2002,PS2,2001.0,Sports,Electronic Arts,0.77,0.6,0.0,0.2,1.57
1113,1145,409,Unreal Tournament,2001,SecretLevel,Action;Shooter;First-Person;Sci-Fi,Dreamcast,90,8.8,not specified,3471,Unreal Tournament,PS2,2000.0,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58
1114,1146,410,Deus Ex,2000,IonStorm,Action Adventure;Sci-Fi;Sci-Fi;General,PC,90,9.2,1 Player,16166,Deus Ex,PC,2000.0,Role-Playing,Eidos Interactive,0.0,0.01,0.0,0.0,0.01
1115,1147,411,Donkey Kong 64,1999,RareLtd.,Action;Platformer;3D,Nintendo64,90,8.6,1-4 ,176,Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
1116,1148,412,Panzer Dragoon Orta,2003,Smilebit,Action;Shooter;Rail,Xbox,90,8.6,1 Player,6457,Panzer Dragoon Orta,XB,2002.0,Shooter,Sega,0.16,0.05,0.04,0.01,0.26
1117,1149,419,Shin Megami Tensei: Persona 4,2008,AtlusCo.,Role-Playing;Console-style RPG,PlayStation2,90,8.9,1 Player,2528,Shin Megami Tensei: Persona 4,PS2,2008.0,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82
1118,1150,420,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation3,90,8.1,not specified,2851,MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.72
1119,1151,420,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation3,90,8.1,not specified,5500,MLB 09: The Show,PS2,2009.0,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33
1120,1152,420,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation3,90,8.1,not specified,6552,MLB 09: The Show,PSP,2009.0,Sports,Sony Computer Entertainment,0.24,0.0,0.0,0.02,0.26
1121,1153,4111,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Baseball;Sim,PlayStation2,79,7.5,not specified,2851,MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.72
1122,1154,4111,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Baseball;Sim,PlayStation2,79,7.5,not specified,5500,MLB 09: The Show,PS2,2009.0,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33
1123,1155,4111,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Baseball;Sim,PlayStation2,79,7.5,not specified,6552,MLB 09: The Show,PSP,2009.0,Sports,Sony Computer Entertainment,0.24,0.0,0.0,0.02,0.26
1124,1156,4517,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PSP,78,6.9,not specified,2851,MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.72
1125,1157,4517,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PSP,78,6.9,not specified,5500,MLB 09: The Show,PS2,2009.0,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33
1126,1158,4517,MLB 09: The Show,2009,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PSP,78,6.9,not specified,6552,MLB 09: The Show,PSP,2009.0,Sports,Sony Computer Entertainment,0.24,0.0,0.0,0.02,0.26
1127,1159,421,Blast Corps,1997,RareLtd.,Action;General,Nintendo64,90,8.5,1 Player,2887,Blast Corps,N64,1997.0,Action,Nintendo,0.39,0.09,0.17,0.06,0.71
1128,1160,426,NFL 2K2,2001,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,90,7.9,not specified,2343,NFL 2K2,PS2,2001.0,Sports,Sega,0.44,0.34,0.0,0.11,0.89
1129,1161,426,NFL 2K2,2001,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,90,7.9,not specified,8203,NFL 2K2,XB,2002.0,Sports,Sega,0.13,0.04,0.0,0.01,0.18
1130,1162,977,NFL 2K2,2002,VisualConcepts,Sports;Traditional;Football;Sim,Xbox,87,tbd,1-4 ,2343,NFL 2K2,PS2,2001.0,Sports,Sega,0.44,0.34,0.0,0.11,0.89
1131,1163,977,NFL 2K2,2002,VisualConcepts,Sports;Traditional;Football;Sim,Xbox,87,tbd,1-4 ,8203,NFL 2K2,XB,2002.0,Sports,Sega,0.13,0.04,0.0,0.01,0.18
1132,1164,1466,NFL 2K2,2001,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,85,7.5,1-8 ,2343,NFL 2K2,PS2,2001.0,Sports,Sega,0.44,0.34,0.0,0.11,0.89
1133,1165,1466,NFL 2K2,2001,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,85,7.5,1-8 ,8203,NFL 2K2,XB,2002.0,Sports,Sega,0.13,0.04,0.0,0.01,0.18
1134,1166,427,WWF SmackDown! 2: Know Your Role,2000,Yuke's,Action;Fighting;Wrestling,PlayStation,90,8.7,1-4 ,424,WWF SmackDown! 2: Know Your Role,PS,2000.0,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
1135,1167,430,Silent Hunter III,2005,Ubisoft,Simulation;Submarine;Submarine;Marine;Combat,PC,90,8.0,8  Online,11515,Silent Hunter III,PC,2005.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08
1136,1168,432,Assassin's Creed: Brotherhood,2010,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PlayStation3,90,8.2,Up to 8 ,374,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
1137,1169,432,Assassin's Creed: Brotherhood,2010,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PlayStation3,90,8.2,Up to 8 ,515,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
1138,1170,432,Assassin's Creed: Brotherhood,2010,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PlayStation3,90,8.2,Up to 8 ,3392,Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
1139,1171,526,Assassin's Creed: Brotherhood,2010,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,Xbox360,89,8.3,Up to 8 ,374,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
1140,1172,526,Assassin's Creed: Brotherhood,2010,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,Xbox360,89,8.3,Up to 8 ,515,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
1141,1173,526,Assassin's Creed: Brotherhood,2010,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,Xbox360,89,8.3,Up to 8 ,3392,Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
1142,1174,682,Assassin's Creed: Brotherhood,2011,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PC,88,8.2,not specified,374,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
1143,1175,682,Assassin's Creed: Brotherhood,2011,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PC,88,8.2,not specified,515,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
1144,1176,682,Assassin's Creed: Brotherhood,2011,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PC,88,8.2,not specified,3392,Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
1145,1177,436,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,90,8.6,Up to 8 ,1230,Dead Space 2,X360,2011.0,Shooter,Electronic Arts,0.94,0.45,0.0,0.13,1.52
1146,1178,436,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,90,8.6,Up to 8 ,1345,Dead Space 2,PS3,2011.0,Shooter,Electronic Arts,0.73,0.5,0.0,0.21,1.44
1147,1179,436,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,90,8.6,Up to 8 ,5575,Dead Space 2,PC,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.05,0.33
1148,1180,609,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,89,8.4,Up to 8 ,1230,Dead Space 2,X360,2011.0,Shooter,Electronic Arts,0.94,0.45,0.0,0.13,1.52
1149,1181,609,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,89,8.4,Up to 8 ,1345,Dead Space 2,PS3,2011.0,Shooter,Electronic Arts,0.73,0.5,0.0,0.21,1.44
1150,1182,609,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,89,8.4,Up to 8 ,5575,Dead Space 2,PC,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.05,0.33
1151,1183,986,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,87,8.4,not specified,1230,Dead Space 2,X360,2011.0,Shooter,Electronic Arts,0.94,0.45,0.0,0.13,1.52
1152,1184,986,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,87,8.4,not specified,1345,Dead Space 2,PS3,2011.0,Shooter,Electronic Arts,0.73,0.5,0.0,0.21,1.44
1153,1185,986,Dead Space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,87,8.4,not specified,5575,Dead Space 2,PC,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.05,0.33
1154,1186,437,Pikmin 2,2004,Nintendo,Strategy;Real-Time;Fantasy,GameCube,90,9.1,1-2 ,1671,Pikmin 2,GC,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
1155,1187,439,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,XboxOne,90,5.9,not specified,1703,NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19
1156,1188,439,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,XboxOne,90,5.9,not specified,3147,NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.54,0.04,0.0,0.07,0.64
1157,1189,439,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,XboxOne,90,5.9,not specified,12871,NBA 2K17,X360,2016.0,Sports,Take-Two Interactive,0.04,0.0,0.0,0.01,0.05
1158,1190,439,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,XboxOne,90,5.9,not specified,13234,NBA 2K17,PS3,2016.0,Sports,Take-Two Interactive,0.03,0.01,0.0,0.01,0.05
1159,1191,740,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,PlayStation4,88,6.4,Up to 10 ,1703,NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19
1160,1192,740,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,PlayStation4,88,6.4,Up to 10 ,3147,NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.54,0.04,0.0,0.07,0.64
1161,1193,740,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,PlayStation4,88,6.4,Up to 10 ,12871,NBA 2K17,X360,2016.0,Sports,Take-Two Interactive,0.04,0.0,0.0,0.01,0.05
1162,1194,740,NBA 2K17,2016,VisualConcepts,Sports;Team;Basketball;Sim,PlayStation4,88,6.4,Up to 10 ,13234,NBA 2K17,PS3,2016.0,Sports,Take-Two Interactive,0.03,0.01,0.0,0.01,0.05
1163,1195,441,Grandia II,2000,GameArts,Role-Playing;Console-style RPG,Dreamcast,90,8.6,not specified,5960,Grandia II,PS2,2002.0,Role-Playing,Ubisoft,0.14,0.11,0.0,0.04,0.29
1164,1196,441,Grandia II,2000,GameArts,Role-Playing;Console-style RPG,Dreamcast,90,8.6,not specified,7656,Grandia II,DC,2000.0,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2
1165,1197,443,Sid Meier's Civilization V,2010,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,90,8.0,Up to 4 ,1071,Sid Meier's Civilization V,PC,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69
1166,1198,444,Super Mario 3D Land,2011,Nintendo,Action;Platformer;Platformer;3D;3D,3DS,90,8.4,No Online Multiplayer,54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
1167,1199,446,Falcon 4.0: Allied Force,2005,LeadPursuit,Simulation;Flight;Modern Jet;Modern Jet;Combat,PC,90,8.6,16  Online,15076,Falcon 4.0: Allied Force,PC,2005.0,Simulation,Graphsim Entertainment,0.0,0.02,0.0,0.0,0.02
1168,1200,447,Deus Ex: Human Revolution,2011,NixxesSoftware,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PC,90,8.5,No Online Multiplayer,1394,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39
1169,1201,447,Deus Ex: Human Revolution,2011,NixxesSoftware,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PC,90,8.5,No Online Multiplayer,1400,Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.48,0.02,0.12,1.39
1170,1202,447,Deus Ex: Human Revolution,2011,NixxesSoftware,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PC,90,8.5,No Online Multiplayer,3432,Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
1171,1203,447,Deus Ex: Human Revolution,2011,NixxesSoftware,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PC,90,8.5,No Online Multiplayer,9885,Deus Ex: Human Revolution,WiiU,2013.0,Shooter,Square Enix,0.06,0.05,0.0,0.01,0.12
1172,1204,580,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PlayStation3,89,8.2,1 Player,1394,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39
1173,1205,580,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PlayStation3,89,8.2,1 Player,1400,Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.48,0.02,0.12,1.39
1174,1206,580,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PlayStation3,89,8.2,1 Player,3432,Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
1175,1207,580,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,PlayStation3,89,8.2,1 Player,9885,Deus Ex: Human Revolution,WiiU,2013.0,Shooter,Square Enix,0.06,0.05,0.0,0.01,0.12
1176,1208,612,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,Xbox360,89,8.3,No Online Multiplayer,1394,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39
1177,1209,612,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,Xbox360,89,8.3,No Online Multiplayer,1400,Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.48,0.02,0.12,1.39
1178,1210,612,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,Xbox360,89,8.3,No Online Multiplayer,3432,Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
1179,1211,612,Deus Ex: Human Revolution,2011,EidosMontreal,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;First-Person;Sci-Fi,Xbox360,89,8.3,No Online Multiplayer,9885,Deus Ex: Human Revolution,WiiU,2013.0,Shooter,Square Enix,0.06,0.05,0.0,0.01,0.12
1180,1212,448,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,Xbox360,90,8.3,2 ,2826,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
1181,1213,448,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,Xbox360,90,8.3,2 ,3149,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
1182,1214,448,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,Xbox360,90,8.3,2 ,3370,XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
1183,1215,494,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PlayStation3,89,8.2,2 ,2826,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
1184,1216,494,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PlayStation3,89,8.2,2 ,3149,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
1185,1217,494,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PlayStation3,89,8.2,2 ,3370,XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
1186,1218,594,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PC,89,8.2,No Online Multiplayer,2826,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
1187,1219,594,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PC,89,8.2,No Online Multiplayer,3149,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
1188,1220,594,XCOM: Enemy Unknown,2012,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PC,89,8.2,No Online Multiplayer,3370,XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
1189,1221,449,Metroid Prime 3: Corruption,2007,RetroStudios,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Wii,90,8.9,No Online Multiplayer,957,Metroid Prime 3: Corruption,Wii,2007.0,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82
1190,1222,452,Banjo-Tooie,2000,RareLtd.,Action;Platformer;3D,Nintendo64,90,9.0,not specified,1273,Banjo-Tooie,N64,2000.0,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49
